epoch,train_loss,train_mae,val_loss,val_mae,lr,time_sec
1,315.4218333264492,12.24350012465186,87.45677323774858,6.575392824230772,0.001,22.25638699531555
2,82.1379346588227,6.072351415351799,101.55394767992425,7.442607214956572,0.001,22.31273126602173
3,81.33119925415407,6.066859034973329,94.17275816021544,6.976343400550611,0.001,22.393813371658325
4,68.37858318778324,5.372284166042178,54.91945740670869,5.5230661594506465,0.001,22.36780619621277
5,57.18951508213746,5.438397272115748,58.402279015743375,5.512529373168945,0.001,22.185890913009644
6,59.07455711710489,5.081594784094127,64.78780792698716,5.659732009425308,0.001,22.336689710617065
7,52.14286172642088,4.9603649957662626,47.75963939319957,5.531695250308875,0.001,22.401509284973145
8,54.25667034967428,5.244397765560093,55.98570621374881,5.437467907414292,0.001,22.37617015838623
9,50.86286746483195,4.937779775198853,52.31764082475142,5.40343614058061,0.001,22.276249170303345
10,46.826732255180794,4.799913342985862,50.3176401311701,5.392978668212891,0.001,22.18898034095764
11,52.40993442132034,5.127439470089454,49.98640834923947,5.394914439230254,0.001,22.24078941345215
12,44.37503079417249,4.7002917286852695,48.18040951815519,5.40330307411425,0.001,22.274850606918335
13,48.73157328349226,5.030628630762013,47.55050231471206,5.38625548102639,0.001,22.318898916244507
14,49.9099086058464,5.087471077449372,50.21680716312293,5.3582100723728985,0.001,22.31715750694275
15,48.534721812452794,4.738601915065615,47.21607069535689,5.371859463778409,0.001,22.309685230255127
16,49.04977038979891,5.1827984490063255,47.80758724790631,5.342699195399429,0.001,22.391340732574463
17,45.13882326431505,4.751559208527072,47.14227318041252,5.358929142807469,0.001,22.372629165649414
18,48.51818091631656,5.04913030434231,48.74389729355321,5.321507251623905,0.001,22.42264676094055
19,43.22967529296875,4.719082420326072,45.20410757353812,5.344233108289314,0.001,22.495051383972168
20,47.7531078142702,5.084474223618061,47.67244269631126,5.301135554458156,0.001,22.354862451553345
21,44.67642829641475,4.6824812413702555,45.10404101285067,5.391378836198286,0.001,22.253867387771606
22,43.70765229654456,5.0129463679840915,49.115619428230055,5.329721161813447,0.001,22.351537227630615
23,46.085380254555325,4.821095100702476,47.22581435694839,5.344720334717722,0.001,22.459799766540527
24,41.53368292402285,4.7153363184626365,46.32128097071792,5.329188578056566,0.001,22.457794427871704
25,41.25725709851775,4.749307177218066,45.185467806729406,5.349311597419508,0.001,22.29081916809082
26,37.1077294479324,4.492649827478876,46.37273013953006,5.307811765959769,0.001,22.151520252227783
27,42.0131727143717,4.733459011665644,45.10455530340021,5.337239381038781,0.0005,22.294655799865723
28,45.245064081382175,5.102007448133025,45.939570571437024,5.301436669898756,0.0005,22.365232944488525
29,40.50584204175321,4.457654970290077,46.521687825520836,5.282368139787153,0.0005,22.28847885131836
30,42.10059607929333,4.663465471066017,44.63479163429954,5.297156883008553,0.0005,21.295886993408203
31,38.14763592953408,4.746603951353321,45.47615363381126,5.276256561279297,0.0005,22.29089665412903
32,41.305841636081475,4.687605198056316,45.8462256229285,5.276661554972331,0.0005,22.38997459411621
33,43.18694404532902,4.647948780808925,45.62713345614347,5.284590172045158,0.0005,22.369468450546265
34,43.41766099267136,4.79234332404468,44.82899243903883,5.343013748978123,0.0005,22.054789543151855
35,41.75721192143835,4.698054725670022,45.42740469267874,5.292875492211544,0.0005,22.152284622192383
36,39.16290707314483,4.492565443148425,45.557699145692766,5.279965357346968,0.0005,22.367449522018433
37,43.397966367600546,4.821684500241928,45.41837553544478,5.278462727864583,0.0005,22.368762493133545
38,39.020040183629156,4.668331065566878,45.20850302956321,5.296310193610914,0.00025,22.30568790435791
39,39.49081835789983,4.536843936608998,45.57946927619703,5.276113047744289,0.00025,22.37527823448181
40,40.97537093148131,4.646536605235673,44.856777306759,5.318933501388088,0.00025,22.25645399093628
41,42.79870365753635,4.770697510134418,45.148090015758164,5.29530652364095,0.00025,21.99943733215332
42,39.17212485690852,4.464565242525314,44.85631249167702,5.339063890052564,0.00025,22.4166042804718
43,42.28588295559148,4.850610346952594,45.24386273008405,5.296588204123757,0.00025,22.229422569274902
44,39.90160081753918,4.561111795938267,45.482608910762906,5.282155008027048,0.000125,22.205255031585693
45,39.35494819940757,4.48864296627909,45.04240417480469,5.3107035665801074,0.000125,22.243415355682373
46,40.724860522682214,4.747549742730363,44.816560225053266,5.340688459800951,0.000125,22.34184241294861
47,42.67084735974084,4.826168048777969,44.863307028105766,5.323311805725098,0.000125,22.381190299987793
48,38.61656958819156,4.4680506772505195,44.989187413995914,5.295750589081735,0.000125,22.32746386528015
49,38.72600119783799,4.517666980939329,44.7307893001672,5.321186903751258,0.000125,22.258994340896606
