filename,gt_box_count,pred_box_count,review_status,usable,review_notes
20251021_132633_1.jpg,1,166,,,
20251021_132633_2.jpg,1,136,,,
20251021_132633_3.jpg,1,198,,,
20251021_161301_4.jpg,2,222,,,
20251021_155407_5.jpg,1,142,,,
20251021_155407_6.jpg,1,145,,,
20251021_160809_7.jpg,1,93,,,
20251021_160809_8.jpg,1,130,,,
20251021_151409_9.jpg,4,133,,,
20251021_122655_10.jpg,6,198,,,
20251021_122655_11.jpg,5,176,,,
20251021_122353_12.jpg,30,204,,,
20251021_122353_13.jpg,1,169,,,
20251021_122353_14.jpg,5,165,,,
20251021_130752_15.jpg,4,130,,,
20251021_130752_16.jpg,1,115,,,
