epoch,train_loss,train_mae,val_loss,val_mae,val_spearman,lr,time_sec
1,2.815269672612568,2.791836983687607,2.528303131912694,2.9792776758020576,0.8465016868014936,0.001,5388.210349082947
2,1.653954286426815,1.8898113445596372,2.667136633034908,3.126605835827914,0.819395924282539,0.001,5375.091729640961
3,1.3835328446564636,1.6758388283856687,2.9447442257043086,3.398253700949929,0.8044230184843184,0.001,5355.986445426941
4,1.2570781641118751,1.5727311191928282,2.782938068563288,3.250910087065263,0.8121913880197971,0.001,5385.226776599884
5,1.1445782530683553,1.471935927401556,2.7627572507569282,3.2215472134676846,0.8030447593731852,0.001,5404.777426242828
6,1.0642028983174465,1.3951041318326227,2.9030344757166775,3.36828131386728,0.8032535865112357,0.001,5374.438593149185
7,1.0273189443261552,1.3644055079290995,2.6946333393906103,3.155244733348037,0.8010191361340954,0.001,5473.788287162781
8,0.8841065986320359,1.2247767912404328,2.7362850362604316,3.2022862073146934,0.8041933086324629,0.0005,5396.006872653961
9,0.8580861578049245,1.1979396346309907,2.8061865495912954,3.276384888273297,0.8002882411509186,0.0005,5423.410749912262
10,0.8293624200614469,1.170496858393245,2.9075923191778585,3.3704232916687475,0.7984296796222692,0.0005,5412.31847858429
11,0.81179846518401,1.1532687294044017,2.708193520704905,3.1764704530889336,0.79880556847076,0.0005,5364.35217499733
