epoch,train_loss,train_mae,val_loss,val_mae,val_spearman,lr,time_sec
1,11.591585833500519,12.05250304991385,6.736059766827208,7.21035369237264,0.578472055113681,0.001,52.28374266624451
2,5.919158705051572,6.389954904054947,7.201066595135313,7.691180286985455,0.6094202369727646,0.001,51.53568506240845
3,5.926453097709356,6.395682159147234,6.561365431005305,7.036683227076675,0.61585211282472,0.001,50.81203579902649
4,4.708403619034413,5.158250330438066,4.146590695236668,4.6278815702958545,0.6521462694178962,0.001,50.90079426765442
5,4.043432437401163,4.4966408997504015,4.360028844891173,4.829033158042214,0.7233772062069206,0.001,51.419408321380615
6,3.494281757274063,3.934420882395027,3.1646282456137915,3.6523759003841514,0.7647876276823341,0.001,52.58785438537598
7,3.0947984078859636,3.556040991469092,3.050091201608831,3.5038552862225156,0.7821202801405254,0.001,52.9958119392395
8,2.812098085340056,3.2454878930959095,2.7219875436840635,3.199389327656139,0.7858374031978241,0.001,51.75553798675537
9,2.569772772198357,3.0123756155146575,2.7705122124065054,3.2431005492354883,0.7896798225379534,0.001,50.40771675109863
10,2.4821419154049047,2.9083652323466413,2.639119191603227,3.0755869114037715,0.8047362591913942,0.001,51.392722845077515
11,2.386336796233301,2.8164114822433794,2.6934812285683374,3.1625548420530376,0.8188738564374128,0.001,51.56424117088318
12,2.442209814250289,2.8837761317134984,2.5436917796279443,2.958087256460479,0.8235098189021338,0.001,54.261534452438354
13,2.4224427329809646,2.8619071753003444,2.522980711676858,2.9925413276209976,0.8258486828482994,0.001,52.2497832775116
14,2.4769358332423645,2.9154123035442434,2.562866160363862,3.030664913582079,0.8281457813668549,0.001,52.04527020454407
15,2.1669644243407467,2.58657048620126,2.630103176290339,3.0845237934228145,0.82816666408066,0.001,51.36149024963379
16,2.3589964806133166,2.7954064452756207,2.469992363091671,2.934806216846813,0.8309440650167316,0.001,52.409680128097534
17,2.2036053522115746,2.6298750909073476,2.52027018142469,2.976316791592222,0.8309649477305365,0.001,52.17014479637146
18,2.0999041323935517,2.5240062125860026,2.491307359753233,2.905535091053356,0.8284799047877357,0.001,50.60252356529236
19,2.1587130151846616,2.583448219875555,2.8856158979011304,3.3742806044491855,0.8273940036698731,0.001,51.85464668273926
20,2.2145327311628176,2.6488086435369853,2.4668307810118706,2.8874623919978286,0.82820842950827,0.001,53.23516058921814
21,2.2696514993996058,2.6957264695642937,2.472429051543727,2.890168926932595,0.8289393244914468,0.001,51.82153558731079
22,2.241336695737349,2.6733204590950126,2.4906082731304746,2.9030438336459072,0.8283754912187105,0.001,51.60997796058655
23,2.166781042277633,2.591162459727861,2.5757964885596074,3.035817030704383,0.8318837871379589,0.001,50.96982765197754
24,2.0175944671169868,2.452297095445708,2.4133494767275723,2.838415897253788,0.8346194226464204,0.001,52.01959252357483
25,2.0663456873591213,2.4977399474544466,2.4907667853615503,2.901300560344349,0.8360603298989686,0.001,53.263046979904175
26,2.1131247897882837,2.5316780989263714,2.487343354658647,2.9362424648169316,0.8386289036969898,0.001,52.31862139701843
27,2.1156825270177375,2.5466048364552845,2.570910815036658,2.997135046756629,0.835371200343402,0.001,51.745898962020874
28,2.0907993259026565,2.524925416329836,2.420161825237852,2.847220196868434,0.8322805587002547,0.001,52.471433877944946
29,1.9127518576077465,2.3412727632551396,2.4856901096575186,2.927746498223507,0.8340138239460737,0.001,51.66675090789795
30,1.9189901092621495,2.340483996803307,2.373273488247033,2.810375878305146,0.8402995208013937,0.001,52.96391439437866
31,1.8757297711790148,2.293587065175221,2.3996254314075816,2.8234092394510903,0.8433901624445411,0.001,53.30189847946167
32,1.8250871986781003,2.2394554391728425,2.3980572512655547,2.837869759761926,0.8388794962626505,0.001,51.23257660865784
33,1.777344810278394,2.199208654305726,2.825722730521,3.28555957476298,0.8394224468215816,0.001,53.29745292663574
34,1.930827437570808,2.351908750044255,2.4481441179911294,2.8745427059404776,0.8426383847475594,0.001,52.37328624725342
35,1.767920975238535,2.181668641704087,2.4246694535920112,2.846585259293065,0.8423877921818986,0.001,53.52377653121948
36,1.94191072354504,2.3678302131030495,2.4255619988296973,2.863446994261308,0.8412810083502312,0.001,52.783859729766846
37,1.8419228061088262,2.2625275580184336,2.4129510576074775,2.851285609331998,0.8417821934815523,0.0005,51.826127767562866
38,1.836591034857528,2.2540824060353626,2.4063868233651826,2.850304061716253,0.8453949029698259,0.0005,51.64351487159729
39,1.7940813162535698,2.2102098493777733,2.4346924189365273,2.8854935458212188,0.8448310696970895,0.0005,51.061816930770874
40,1.7155727259702194,2.1340054975895724,2.4175041805614126,2.8470580794594507,0.8449146005523096,0.0005,52.85149049758911
