Experiment_ID,Model_Type,Description,Test_Samples,MAE_Percent,RMSE_Percent,Pearson_r,Spearman_rho
E1,Regression,Baseline MLP head on DINOv3 (Absolute Scoring),595,5.9868,7.3489,0.2605,0.2598
E4,Joint_Ranking,Joint Ranking Regression Loss (Pairwise Scoring),515,3.4759,5.7670,0.5916,0.5689
