resistance_rank,genotype,avg_pred_damage,avg_true_damage,plot_count,image_count
1,Express 617,3.426305373509725,2.5833333333333335,3,5
2,WINFRED,3.7458872874577835,4.625,5,11
3,Smaragd,4.897614310769474,5.421078434177473,17,35
4,RESZN/H048,5.297082424163818,5.6875,2,3
5,ALLESANDRO KWS,5.660477797190348,7.427083333333334,4,7
6,R31,6.365539169311523,8.633333333333333,5,10
7,Taisetsu,13.013158520062763,12.583333333333332,4,7
