resistance_rank,plot_group,avg_pred_damage,avg_true_damage,image_count,genotype,location,experiment,split
135,116_R4S_452_G56_20_5,5.759435713291168,7.050000190734863,2,G56,Gross-Gerau,Insects,train
136,289_R4S_154_Cooper_49_1,5.764700412750244,9.25,1,Cooper,Gross-Gerau,Insects,train
137,204_R4S_327_Zork_34_1,5.844838261604309,5.5,2,Zork,Gross-Gerau,Insects,val
138,231_R4S_405_L239_39_3,5.9458327293396,7.625,2,L239,Gross-Gerau,Insects,train
139,283_R4S_429_L122_48_6,6.035446484883626,6.333333333333333,3,L122,Gross-Gerau,Insects,test
140,203_R4S_438_R99_34_2,6.044534683227539,13.0,1,R99,Gross-Gerau,Insects,train
141,32_R4S_240_Musette_6_5,6.055059591929118,5.0,3,Musette,Gross-Gerau,Insects,train
142,210_R4S_422_G89_35_6,6.203264236450195,14.5,1,G89,Gross-Gerau,Insects,val
143,274_R4S_163_Magnum_46_3,6.203604698181152,6.333333333333333,3,Magnum,Gross-Gerau,Insects,train
144,44_R4S_217_JANETYKIS SCHLESISCHER_8_5,6.214094638824463,7.333333333333333,3,JANETYKIS SCHLESISCHER,Gross-Gerau,Insects,train
145,137_R4S_460_K53_23_5,6.478809356689453,7.166666666666667,3,K53,Gross-Gerau,Insects,train
146,173_R4S_396_Diamant_29_5,6.574131409327189,6.583333333333333,3,Diamant,Gross-Gerau,Insects,train
147,46_R4S_478_H357_8_3,6.671270370483398,8.25,1,H357,Gross-Gerau,Insects,val
148,263_R4S_255_Atlantic_44_2,6.7266890207926435,7.916666666666667,3,Atlantic,Gross-Gerau,Insects,test
149,178_R4S_399_Reszn/Goe H226_30_3,6.737939834594727,6.0,1,Reszn/Goe H226,Gross-Gerau,Insects,train
150,68_R4S_493_KWS ARIANOS_12_5,6.785271167755127,4.0,1,KWS ARIANOS,Gross-Gerau,Insects,val
151,19_R4S_434_J 134_4_6,6.796161413192749,6.25,3,J 134,Gross-Gerau,Insects,train
152,250_R4S_299_Liragruen_42_3,6.8025234540303545,6.416666666666667,3,Liragruen,Gross-Gerau,Insects,train
153,254_R4S_550_ALLESANDRO KWS_43_2,6.914458751678467,4.625,2,ALLESANDRO KWS,Gross-Gerau,Insects,train
154,83_R4S_166_NK Fair_14_2,7.222962776819865,9.333333333333334,3,NK Fair,Gross-Gerau,Insects,train
155,255_R4S_226_Lilian_43_3,7.33138370513916,14.5,1,Lilian,Gross-Gerau,Insects,train
156,59_R4S_329_Rotabaggeue_10_2,7.334267616271973,5.25,2,Rotabaggeue,Gross-Gerau,Insects,train
157,60_R4S_209_Falcon_10_1,7.390966415405273,13.0,1,Falcon,Gross-Gerau,Insects,train
158,300_R4S_218_SHANNON x WINNER DH LINE_50_1,7.4182775020599365,13.0,2,SHANNON x WINNER DH LINE,Gross-Gerau,Insects,train
