resistance_rank,plot_group,avg_pred_damage,avg_true_damage,image_count,genotype,location,experiment,split
214,135_R4S_167_Aviso_23_3,12.40565276145935,16.049999952316284,2,Aviso,Gross-Gerau,Insects,train
215,180_R4S_221_MADRIGAL x RECITAL DH LINE_30_1,12.571414947509766,17.166666666666668,3,MADRIGAL x RECITAL DH LINE,Gross-Gerau,Insects,train
216,77_R4S_376_Victor_13_5,12.592949867248535,12.875,2,Victor,Gross-Gerau,Insects,test
217,124_R4S_372_CANARD_21_4,13.020126342773438,22.25,1,CANARD,Gross-Gerau,Insects,train
218,168_R4S_342_Peerless *Acme(_28_1,13.270841598510742,10.5,1,Peerless *Acme(,Gross-Gerau,Insects,train
219,156_R4S_344_Conqueror Bronye Green Top_26_1,13.458451271057129,16.25,2,Conqueror Bronye Green Top,Gross-Gerau,Insects,val
220,1_Smaragd_1_1,13.480469385782877,10.916666666666666,3,Smaragd,Gross-Gerau,Insects,train
221,126_R4S_283_Mztnickij_21_6,13.5438232421875,17.5,2,Mztnickij,Gross-Gerau,Insects,train
222,155_R4S_190_RAFAL DH1_26_2,13.788050015767416,16.833333333333332,3,RAFAL DH1,Gross-Gerau,Insects,val
223,310_Smaragd_52_3,13.916338920593262,15.75,1,Smaragd,Gross-Gerau,Insects,train
224,232_R4S_238_Viking_39_4,14.073953628540039,18.5,1,Viking,Gross-Gerau,Insects,train
225,306_R4S_180_Duell_51_6,14.76294231414795,19.375,2,Duell,Gross-Gerau,Insects,train
226,191_R4S_499_R4S_NPY3_32_2,15.044445037841797,21.5,1,R4S_NPY3,Gross-Gerau,Insects,train
227,72_R4S_386_Major_12_1,15.049537817637125,10.5,3,Major,Gross-Gerau,Insects,test
228,80_R4S_512_R31_14_5,15.127246856689453,18.625,2,R31,Gross-Gerau,Insects,train
229,47_R4S_203_Flip_8_2,15.934152603149414,17.25,1,Flip,Gross-Gerau,Insects,train
230,295_R4S_272_Doral_50_6,16.083046913146973,15.25,2,Doral,Gross-Gerau,Insects,test
231,278_R4S_394_Erra_47_2,16.342453002929688,14.25,1,Erra,Gross-Gerau,Insects,test
232,296_R4S_393_Gross/Luesewityer_50_5,16.34630012512207,27.75,1,Gross/Luesewityer,Gross-Gerau,Insects,test
233,73_R4S_437_S2_13_1,17.010360717773438,12.25,1,S2,Gross-Gerau,Insects,train
234,110_R4S_522_Taisetsu_19_2,17.384984334309895,17.333333333333332,3,Taisetsu,Gross-Gerau,Insects,train
235,48_R4S_406_S30_8_1,17.481847763061523,8.5,1,S30,Gross-Gerau,Insects,val
236,36_R4S_433_SEM_6_1,17.49547052383423,19.125,2,SEM,Gross-Gerau,Insects,train
237,25_R4S_387_Lirafit_5_1,17.54529571533203,11.5,1,Lirafit,Gross-Gerau,Insects,train
238,104_R4S_364_Silona_18_5,17.85297393798828,10.0,1,Silona,Gross-Gerau,Insects,test
239,13_R4S_212_Askari_3_1,18.099923610687256,16.25,2,Askari,Gross-Gerau,Insects,val
240,12_R4S_470_A4C34_2_1,18.17755381266276,20.75,3,A4C34,Gross-Gerau,Insects,val
241,265_R4S_189_CAPRICORN DH1_45_1,18.549888610839844,15.25,1,CAPRICORN DH1,Gross-Gerau,Insects,val
242,147_R4S_220_EUROL_25_3,18.928909301757812,16.5,1,EUROL,Gross-Gerau,Insects,test
243,291_R4S_362_BRAUNER SCHNITTKOHL_49_3,18.992496490478516,15.5,1,BRAUNER SCHNITTKOHL,Gross-Gerau,Insects,train
244,144_R4S_379_Skryesyowicki_24_1,20.186548233032227,19.625,2,Skryesyowicki,Gross-Gerau,Insects,train
245,120_R4S_158_Lipid_20_1,21.862796783447266,44.0,1,Lipid,Gross-Gerau,Insects,train
246,303_R4S_301_Parapluie_51_3,22.25497817993164,24.5,1,Parapluie,Gross-Gerau,Insects,train
247,37_R4S_521_Taisetsu_7_1,23.40149688720703,16.75,2,Taisetsu,Gross-Gerau,Insects,train
248,182_R4S_268_Anja_31_2,23.920873641967773,29.375,2,Anja,Gross-Gerau,Insects,train
249,57_R4S_380_Sarepta_10_4,23.990259170532227,28.0,1,Sarepta,Gross-Gerau,Insects,train
250,24_R4S_291_Wolynski_4_1,24.102229118347168,19.875,2,Wolynski,Gross-Gerau,Insects,val
