epoch,train_loss,train_mae,val_loss,val_mae,val_spearman,lr,time_sec
1,13.388560822362987,11.916541384786278,5.813953746448863,6.2763361786351055,0.6991741409068681,0.001,88.9799542427063
2,8.347827692406415,6.980614999269791,3.9941114656852954,4.448581941200025,0.7487705861938612,0.001,92.18810367584229
3,5.398131863228144,4.776814751754714,3.269833940448183,3.758631099354137,0.7707809665443836,0.001,92.91754341125488
4,4.806212964014705,4.352394495845921,2.767879341587876,3.2513206655328926,0.786171526618705,0.001,96.1859860420227
5,4.1025968707220075,3.8764419786159365,2.6552988904895205,3.1144404194571753,0.7990352783226157,0.001,90.07251167297363
6,3.7975779415257387,3.5341345104206003,3.004155917601152,3.466162479285038,0.8192915107135138,0.001,88.50472474098206
7,3.8944443071716863,3.6543434120016878,2.498814907940951,2.966258193507339,0.8228415720603722,0.001,90.14468741416931
8,3.6887962825348732,3.4504914989644306,2.5793899767326587,3.041944070295854,0.8302340527473598,0.001,89.96328330039978
9,3.3426642288254107,3.289419571798734,2.578606619979396,3.0343638839143696,0.8385871382693798,0.001,88.09429502487183
10,3.5523298326936015,3.4218452257692276,2.968357873685432,3.4496921914996523,0.83242673769689,0.001,87.49061107635498
11,3.201442315139079,3.142926282392888,2.6254837729714136,3.06776035193241,0.8335544042423627,0.001,90.71002268791199
12,3.232589698630157,3.0781759625115064,2.5513539242021963,2.9957017537319297,0.8351832559191567,0.001,91.03572678565979
13,3.1853551490069156,3.0426612692657193,2.407112959659461,2.8391702536380654,0.8338467622356335,0.001,92.51314640045166
14,3.2328679525600097,3.1642743482330413,2.6949232997316304,3.146100737831809,0.8338676449494387,0.001,90.73669791221619
15,3.049503107445478,2.9482233329842096,2.7064430569157456,3.1555177081714976,0.8347029535016404,0.001,91.3056755065918
16,2.970597327655896,2.9234952840200004,2.6539920676838267,3.104315302588723,0.8393806813939716,0.001,88.13711786270142
17,2.935635108602011,2.7749999757979933,2.642106374104818,3.0974040320425322,0.8402368726599786,0.001,88.14175081253052
18,2.9499722391456995,2.823878717566545,2.4749142039905894,2.90754087043531,0.8380024222828385,0.001,89.71231341362
19,2.991337756015743,2.8424404985594967,2.4340449679981577,2.8636065396395596,0.8435363414411765,0.001,97.31602144241333
20,2.7136348482345167,2.6714157899700983,2.611124710603194,3.0675093043934214,0.8422207304714584,0.0005,90.09869623184204
21,2.8425936742131444,2.8261149138482318,2.4176516460649893,2.8622657385739414,0.8428472118856098,0.0005,93.38127589225769
22,2.8642777964427752,2.7444789575305952,2.409952243169149,2.8541009353868887,0.8453322548284108,0.0005,91.4937641620636
23,2.6677948182443116,2.6082443341027575,2.501130855444706,2.934862396933816,0.8447266561280644,0.0005,87.40250420570374
