epoch,train_loss,train_mae,val_loss,val_mae,lr,time_sec
1,11.788403421730433,12.253035069952558,6.750822861989339,7.222115487763376,0.001,22.412794589996338
2,6.0497145638365035,6.510873800318047,7.298324816154711,7.785337274724787,0.001,22.38193917274475
3,5.901664295945643,6.368962129437311,6.698850906256474,7.167272437702525,0.001,22.23026180267334
4,4.9485949375118015,5.404974761686296,4.990470813982414,5.483274445389256,0.001,22.130165338516235
5,4.54096742843213,4.991925104146998,5.289080027377967,5.774122483802564,0.001,22.303582668304443
6,4.557745135442728,5.003830324847172,5.218292756514116,5.703635186860056,0.001,22.391157150268555
7,4.309112687125307,4.76639432417302,4.933164553208784,5.413999745340059,0.001,22.279931783676147
8,4.3097064199764565,4.7643559850594785,4.991188309409401,5.452054486130223,0.001,22.224220514297485
9,4.1952923316609825,4.651802523978887,5.0533147002711445,5.522434379115249,0.001,22.32648229598999
10,4.137628146168689,4.588885742371896,5.031718456383907,5.496629483772047,0.001,22.348987579345703
11,4.271775559716354,4.731221847303685,5.04547879190156,5.5102566516760625,0.001,22.30258870124817
12,4.006263271919551,4.451927945693094,4.899238528627338,5.376688812718247,0.001,22.24716544151306
13,4.245391085068625,4.70548732331152,4.923189625595555,5.398540323430842,0.001,22.266578674316406
14,4.2351477124539745,4.679663689835194,5.0333480690464825,5.503402926705101,0.001,22.228038549423218
15,4.167467030873832,4.623038023980363,4.851970759305087,5.33278734033758,0.001,22.24185538291931
16,4.1816715113706096,4.635126119653984,4.967795126365893,5.4358244953733506,0.001,22.306389093399048
17,4.057408958043217,4.5111392848081096,4.813533999703147,5.293886921622536,0.001,22.298216581344604
18,4.124069490461551,4.574947184306257,5.0053959326310595,5.47045966350671,0.001,22.488917350769043
19,3.9973015223384984,4.449801880067208,4.720801136710427,5.2000142733256025,0.001,22.33037757873535
20,4.191459540514067,4.6469636208341205,4.849881490071614,5.331451300418738,0.001,22.238910913467407
21,3.851709648201473,4.300932846760822,4.74410325830633,5.221541751514781,0.001,22.292696237564087
22,3.9459124792738622,4.396806538285086,4.92077974839644,5.397571592619925,0.001,22.3572998046875
23,4.055208258038201,4.50850119691601,4.919216661742239,5.398400436748158,0.001,22.393949031829834
24,3.8444114062721275,4.2902688432676195,4.774284680684407,5.258632977803548,0.001,22.348536729812622
25,3.847120094875555,4.298697572460347,4.72487244461522,5.206967642813018,0.001,22.390807151794434
26,3.7456168782675014,4.199761013249977,4.760218865943678,5.24773578932791,0.0005,22.235120058059692
27,3.9196307940065322,4.368513101537422,4.7053069201382725,5.1867021791862715,0.0005,22.39987850189209
28,4.106847457655247,4.566756533712058,4.790201981862386,5.2773325804508096,0.0005,22.325154304504395
29,3.815336475199443,4.274537285289015,4.702571926694928,5.186953631314364,0.0005,22.37665343284607
30,3.8427210228680844,4.285319417625035,4.702950925538034,5.187204895597516,0.0005,22.350462675094604
31,3.8962692998327157,4.3583934127023936,4.755950710990212,5.241481217471036,0.0005,22.36868143081665
32,3.819787823541647,4.2740068233985555,4.6765494057626436,5.15710600939664,0.0005,22.24235963821411
33,3.8952201313122523,4.349268495496307,4.701910293463505,5.185372078057491,0.0005,22.317498207092285
34,3.9231480947073853,4.367494658040856,4.679630308440237,5.162251010085598,0.0005,22.31001877784729
35,3.7816436629280945,4.22818179865258,4.679725820367986,5.161977767944336,0.0005,22.168420791625977
36,3.7515620666688303,4.2042021506502545,4.689174030766343,5.172927466305819,0.0005,22.29292941093445
37,3.9118788796969413,4.367777982867376,4.754777200294264,5.236746629079183,0.0005,22.304258346557617
38,3.9082666034064624,4.360945387549271,4.71920701229211,5.20321545456395,0.0005,22.24428391456604
39,3.7637693514636634,4.211480293389173,4.769234079303163,5.251488570011023,0.00025,22.26167893409729
40,3.9142793038820574,4.374072625197673,4.657651987942782,5.126502441637443,0.00025,22.475859880447388
41,3.9345615075794234,4.388258758268328,4.755568504333496,5.239625612894694,0.00025,22.438440799713135
42,3.679438772518469,4.127920052796332,4.677316680099025,5.1485536315224385,0.00025,22.402782917022705
43,3.912510413777792,4.3700828667493745,4.7651684934442695,5.250305276928526,0.00025,22.393593788146973
44,3.8155744615998515,4.264922242870504,4.717972162998084,5.203302108880245,0.00025,22.288016080856323
45,3.6633269664384085,4.117755855318283,4.6679628112099385,5.137505805853642,0.00025,22.381513833999634
46,3.8346285863225194,4.2837510123353715,4.765979737946481,5.2520185239387285,0.00025,22.330145120620728
47,3.914842334758839,4.364661110131762,4.740607825192538,5.226682330622817,0.000125,22.4404456615448
48,3.7213096042414087,4.165639710210241,4.699010429960309,5.1838977553627705,0.000125,22.288400650024414
49,3.7199977863231095,4.164083198478215,4.674392295606209,5.151382966475054,0.000125,22.372483730316162
50,3.68721065924607,4.129819080548704,4.717035871563536,5.20130983988444,0.000125,22.329848289489746
