epoch,train_loss,train_mae,val_loss,val_mae,val_pearson,val_spearman,lr,time_sec
1,10.776663344583394,11.252255216056918,6.1945699787825985,6.68234452583807,0.55786395,0.6325777766227711,0.001,0.6954977512359619
2,6.313077102472753,6.793533513575424,5.566530092157048,6.051219360433894,0.6476938,0.7063567307849099,0.001,0.4833099842071533
3,5.510929566842538,5.988052321069034,4.342375997159121,4.82345667502863,0.7464785,0.7735818757351777,0.001,0.4825143814086914
4,4.848995974034439,5.324325267179512,3.72915836032346,4.2095857181137415,0.77834946,0.7953996026852994,0.001,0.4817166328430176
5,4.487892751340513,4.962444011075997,3.774153350926132,4.248537958954736,0.7841171,0.8007356055485615,0.001,0.48554158210754395
6,4.290754247594763,4.757838119695216,3.659133856245082,4.126140911802113,0.78904516,0.8087418443505162,0.001,0.48328518867492676
7,4.088232334749199,4.552973876764745,3.6874872145892903,4.167025698174675,0.7946207,0.8065833105289454,0.001,0.4864075183868408
8,3.8860560405401534,4.350202996053813,3.942325909360707,4.4135460784967,0.796774,0.810256840138327,0.001,0.48212742805480957
9,3.9746341234371987,4.4294086621131425,3.4518297627675447,3.9282424329853742,0.8051262,0.8071397027873006,0.001,0.483717679977417
10,4.039218902587891,4.5040993278409225,3.853353900017498,4.322149348773545,0.80588645,0.8151414725751321,0.001,0.48241662979125977
11,3.7094943906054083,4.173787835203571,3.6385642007100496,4.110007064805614,0.8045427,0.8158498113136807,0.001,0.4822869300842285
12,3.6539972093370228,4.116565056789068,3.5604401492386413,4.019232281678015,0.8095281,0.8213735127701227,0.001,0.48234081268310547
13,3.802385695186662,4.2652087623690385,3.772885370597565,4.246118948613997,0.8121416,0.8174340768204029,0.001,0.48126888275146484
14,3.428042505994255,3.8790097884189936,3.5592958464039315,4.031833298772359,0.8058911,0.8114567704304423,0.001,0.4821453094482422
15,3.405059779131854,3.857031151100441,3.663459729805267,4.139280442711261,0.8049793,0.8065564964442054,0.001,0.48390698432922363
16,3.2409931818644204,3.6905926009755077,3.6668182294145764,4.135788603652295,0.80775225,0.8095194528079767,0.0005,0.49628353118896484
17,3.1849724098488137,3.643114925902567,3.9404485688792716,4.401743118711512,0.80637306,0.8093473957642282,0.0005,0.48386549949645996
18,3.1994295591189537,3.6570719495231723,3.6486226637586414,4.1167510705028505,0.80497146,0.813260017629208,0.0005,0.4844644069671631
19,3.3596452194967386,3.810090912712945,3.9411792137639985,4.3943106733637745,0.80832636,0.8174184352709714,0.0005,0.48192667961120605
