epoch,train_loss,train_mae,val_loss,val_mae,val_pearson,val_spearman,lr,time_sec
1,11.502004179709628,11.966258322724403,6.723828171238755,7.198124076380874,0.7708394,0.6732586930748015,0.001,0.3968207836151123
2,5.980552465894071,6.450677324277756,7.0953011368260235,7.584835919466886,0.7788924,0.6976079373714893,0.001,0.1710662841796875
3,5.763015055584403,6.229082366851161,6.308904792323257,6.786987261338667,0.79013205,0.7146064664087998,0.001,0.17026019096374512
4,4.280356461908162,4.731335642834805,3.592743107766816,4.0792254390138565,0.8017375,0.7425475374799563,0.001,0.17099642753601074
5,3.2858679964463158,3.740091652308346,3.3176832271344736,3.7833273627541284,0.8196614,0.7833314775412182,0.001,0.1708238124847412
6,2.721480470409566,3.1676172677123655,2.706201596693559,3.1895599220738267,0.82759887,0.8026479878108893,0.001,0.17158865928649902
7,2.500272076655731,2.940553094685258,2.453584844415838,2.9208840023387563,0.8326808,0.8217347882287047,0.001,0.17100071907043457
8,2.364050827717853,2.7981016268542884,2.4672703742980957,2.8929618199666343,0.8371651,0.8349326633534959,0.001,0.17171812057495117
9,2.271855772081819,2.70674530905179,2.3242438489740547,2.770706725843025,0.8447156,0.8401951072323685,0.001,0.171051025390625
10,2.2620681117308465,2.6869965521590586,2.3031734842242617,2.7272516452904902,0.84740245,0.8462093288082227,0.001,0.1712663173675537
11,2.0648264697671297,2.4981533177309525,2.2968686204968076,2.74628793109547,0.8532784,0.8513255936904599,0.001,0.1710796356201172
12,2.1532303271336857,2.5830748174845994,2.235940037351666,2.6557952707464043,0.8558548,0.8498220382964964,0.001,0.1704399585723877
13,1.9809989352960962,2.408837125380594,2.247943488034335,2.670563538869222,0.8568709,0.8496967420136661,0.001,0.17105436325073242
14,2.0094334697435268,2.4394699742066535,2.2673130757880933,2.6998044577511875,0.8575675,0.8510958838386044,0.001,0.17036151885986328
15,1.9131570914000542,2.323555868557933,2.3210902792034727,2.761778535264911,0.85853565,0.8503649888554276,0.001,0.1704268455505371
16,1.9443943450097951,2.364951822332745,2.3801743911974356,2.827588767716379,0.8586405,0.85124206283524,0.001,0.1707773208618164
17,1.8778568625089986,2.2920035278689106,2.3339878790306323,2.7737173889622544,0.85919654,0.852975328081059,0.001,0.17058300971984863
18,1.8889486537599132,2.309299411370315,2.289172497662631,2.7192200530659068,0.85784006,0.8545624143302427,0.001,0.1707901954650879
19,1.8303766279422264,2.258551790635031,2.2839015035918266,2.718514919281006,0.8574379,0.856420975858892,0.0005,0.1704092025756836
20,1.8148525618354359,2.224198494072767,2.407206137975057,2.8568743936943286,0.8588568,0.8553559574548346,0.0005,0.1704239845275879
21,1.8811064774896442,2.2940876779239345,2.2861025116660376,2.7268109610586455,0.85770464,0.8578201176838305,0.0005,0.17049884796142578
22,1.780498204994778,2.19377268765268,2.3531768972223457,2.795523253354159,0.85924387,0.8560868524380114,0.0005,0.17049217224121094
